7zip 24.09-3
openssh 9.9p2-1
openssl 3.4.1-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.81-2
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-1
pacman-mirrorlist 20250101-1
pam 1.7.0-2
pambase 20230918-2
pamixer 1.6-3
pango 1:1.56.1-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.1-1
perl 5.40.1-2
perl-error 0.17029-7
perl-mailtools 2.22-1
perl-timedate 2.33-7
pinentry 1.3.1-5
pipewire 1:1.2.7-1
pipewire-alsa 1:1.2.7-1
pipewire-audio 1:1.2.7-1
pipewire-jack 1:1.2.7-1
pipewire-pulse 1:1.2.7-1
pixman 0.44.2-1
pkgconf 2.3.0-1
playerctl 2.4.1-4
polkit 126-2
polkit-qt6 0.200.0-1
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.5-2
psmisc 23.7-1
pugixml 1.15-1
python 3.13.2-1
python-autocommand 2.2.2-7
python-charset-normalizer 3.4.1-1
python-dbus 1.3.2-5
python-gobject 3.50.0-2
python-idna 3.10-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jinja 1:3.1.5-1
python-markupsafe 2.1.5-3
python-more-itertools 10.5.0-1
python-packaging 24.2-3
python-platformdirs 4.3.6-2
python-requests 2.32.3-4
python-setproctitle 1.3.4-1
python-setuptools 1:75.8.0-1
python-tqdm 4.67.1-2
python-unidecode 1.3.8-4
python-urllib3 2.3.0-1
python-wheel 0.45.0-3
qqc2-desktop-style 6.11.0-1
qt5-base 5.15.16+kde+r130-4
qt5-declarative 5.15.16+kde+r22-3
qt5-svg 5.15.16+kde+r5-3
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r59-3
qt5-x11extras 5.15.16-3
qt5ct 1.9-1
qt6-base 6.8.2-3
qt6-declarative 6.8.2-1
qt6-multimedia 6.8.2-1
qt6-multimedia-ffmpeg 6.8.2-1
qt6-svg 6.8.2-1
qt6-tools 6.8.2-2
qt6-translations 6.8.2-1
qt6-virtualkeyboard 6.8.2-1
qt6-wayland 6.8.2-1
qt6ct-kde 0.10-1
qt6ct-kde-debug 0.10-1
rate-mirrors 0.18.0-1
rate-mirrors-debug 0.18.0-1
rav1e 0.7.1-1
re2 1:20240702-2
readline 8.2.013-1
rhash 1.4.4-1
rofi-wayland 1.7.8.1-2
rtkit 0.13-3
rubberband 4.0.0-1
rust 1:1.85.0-1
samba 2:4.21.4-1
sbc 2.0-2
scdoc 1.11.3-1
sdbus-cpp 2.1.0-2
